1,540000000,570000000000,35.200%,facebook.com,Social Networks,Yes
2,490000000,70000000000,31.800%,yahoo.com,Web Portals,Yes
3,370000000,39000000000,24.100%,live.com,Search Engines,Yes
4,310000000,7900000000,20.0%,wikipedia.org,Dictionaries & Encyclopedias,No
5,280000000,11000000000,18.100%,msn.com,Web Portals,Yes
6,230000000,3300000000,14.800%,microsoft.com,Software,Yes
7,230000000,4400000000,14.700%,blogspot.com,Blogging Resources & Services,Yes
8,230000000,27000000000,15.00%,baidu.com,Web Portals,Yes
9,170000000,25000000000,11.100%,qq.com,Email & Messaging,Yes
10,140000000,2100000000,9.200%,mozilla.com,Internet Clients & Browsers,No
11,130000000,3600000000,8.400%,sina.com.cn,Web Portals,Yes
12,120000000,1200000000,7.700%,wordpress.com,Blogging Resources & Services,Yes
13,110000000,2700000000,7.00%,bing.com,Search Engines,Yes
14,110000000,1000000000,6.900%,adobe.com,Programming,Yes
15,98000000,2700000000,6.300%,163.com,Web Portals,Yes
16,98000000,10000000000,6.300%,taobao.com,Shopping,No
17,97000000,1400000000,6.300%,soso.com,Entertainment,No
18,96000000,5400000000,6.200%,twitter.com,Email & Messaging,No
19,89000000,1700000000,5.800%,youku.com,Video Clips & Movie Downloads,Yes
20,88000000,1700000000,5.700%,ask.com,Search Engines,Yes
21,82000000,1900000000,5.300%,sohu.com,Web Portals,Yes
22,74000000,3300000000,4.800%,amazon.com,Shopping,Yes
23,74000000,490000000,4.800%,windows.com,Windows,No
24,74000000,9400000000,4.800%,ebay.com,Auctions,Yes
25,72000000,27000000000,4.700%,yahoo.co.jp,Web Portals,Yes
26,72000000,27000000000,4.700%,myspace.com,Social Networks,Yes
27,72000000,960000000,4.700%,apple.com,Mac,Yes
28,66000000,1100000000,4.300%,tudou.com,Photo & Video Sharing,No
29,60000000,2000000000,3.900%,conduit.com,Advertising & Marketing,No
30,60000000,1100000000,3.900%,hotmail.com,Email & Messaging,Yes
31,55000000,1800000000,3.600%,flickr.com,Photo & Video Sharing,Yes
32,55000000,1100000000,3.600%,photobucket.com,Photo & Video Sharing,Yes
33,55000000,590000000,3.600%,tianya.cn,Online Communities,Yes
34,55000000,710000000,3.600%,about.com,How-To & Expert Content,Yes
35,55000000,490000000,3.600%,cnet.com,Technology News,Yes
36,50000000,1400000000,3.300%,hao123.com,Online Directories,No
37,50000000,270000000,3.200%,iefxz.com,,No
38,50000000,870000000,3.200%,xunlei.com,TV Programs,No
39,49000000,1900000000,3.200%,paypal.com,Merchant Services & Payment Systems,Yes
40,46000000,800000000,3.00%,rapidshare.com,File Sharing & Hosting,No
41,46000000,3000000000,3.00%,go.com,Web Portals,Yes
42,45000000,2400000000,2.900%,fc2.com,Blogging Resources & Services,Yes
43,45000000,2500000000,2.900%,bbc.co.uk,News & Current Events,Yes
44,45000000,1400000000,2.900%,imdb.com,Movies,Yes
45,45000000,5300000000,2.900%,orkut.com,Social Networks,Yes
46,45000000,540000000,2.900%,sogou.com,Web Portals,No
47,42000000,450000000,2.700%,56.com,Multimedia Content,No
48,42000000,4400000000,2.700%,aol.com,Web Portals,Yes
49,42000000,14000000000,2.700%,craigslist.org,Classifieds,No
50,41000000,4000000000,2.600%,rakuten.co.jp,Shopping Portals & Search Engines,Yes
51,41000000,310000000,2.700%,imageshack.us,File Sharing & Hosting,Yes
52,41000000,410000000,2.700%,ku6.com,Multimedia Content,Yes
53,41000000,1700000000,2.700%,blogger.com,Blogging Resources & Services,Yes
54,41000000,810000000,2.600%,goo.ne.jp,Web Services,Yes
55,41000000,860000000,2.700%,ifeng.com,News & Current Events,Yes
56,38000000,1700000000,2.500%,linkedin.com,Social Networks,Yes
57,38000000,7000000000,2.400%,yandex.ru,Search Engines,Yes
58,37000000,10000000000,2.400%,mail.ru,Email & Messaging,Yes
59,35000000,280000000,2.200%,partypoker.com,Cards & Casino Games,No
60,34000000,880000000,2.200%,megaupload.com,File Sharing & Hosting,No
61,34000000,250000000,2.200%,answers.com,Dictionaries & Encyclopedias,No
62,34000000,800000000,2.200%,alibaba.com,Management & Corporate Operations,Yes
63,34000000,9500000000,2.200%,hi5.com,Social Networks,Yes
64,34000000,1300000000,2.200%,cnn.com,News & Current Events,Yes
65,34000000,1100000000,2.200%,amazon.co.jp,Shopping Portals & Search Engines,No
66,31000000,1600000000,2.00%,4shared.com,File Sharing & Hosting,Yes
67,31000000,1300000000,2.00%,ameblo.jp,Blogging Resources & Services,Yes
68,31000000,410000000,2.00%,gougou.com,Web Services,Yes
69,31000000,370000000,2.00%,skype.com,VOIP & Internet Telephony,No
70,31000000,2000000000,2.00%,renren.com,Social Networks,Yes
71,31000000,540000000,2.00%,dailymotion.com,Video Clips & Movie Downloads,Yes
72,31000000,5400000000,2.00%,naver.com,Search Engines,No
73,31000000,890000000,2.00%,weather.com,Weather,Yes
74,29000000,210000000,1.900%,mozilla.org,Internet Clients & Browsers,No
75,29000000,370000000,1.900%,mediafire.com,File Sharing & Hosting,Yes
76,28000000,330000000,1.800%,bit.ly,File Sharing & Hosting,No
77,28000000,650000000,1.800%,hp.com,Educational Resources,No
78,28000000,490000000,1.800%,livedoor.jp,Blogging Resources & Services,Yes
79,28000000,190000000,1.800%,ehow.com,How-To & Expert Content,Yes
80,28000000,660000000,1.800%,nifty.com,ISPs,Yes
81,26000000,30000000000,1.700%,vkontakte.ru,Social Networks,No
82,26000000,660000000,1.700%,alipay.com,Banking & Personal Finance,Yes
83,26000000,600000000,1.700%,nytimes.com,Newspapers,Yes
84,26000000,230000000,1.700%,overture.com,Search Engines,No
85,26000000,230000000,1.700%,sourceforge.net,Open Source,Yes
86,25000000,170000000,1.600%,fbcdn.net,Language Study & Translation,No
87,25000000,160000000,1.600%,xtendmedia.com,Web Design & Development,No
88,25000000,190000000,1.700%,xinhuanet.com,News & Current Events,Yes
89,25000000,140000000,1.600%,wikimedia.org,Dictionaries & Encyclopedias,No
90,25000000,250000000,1.600%,pconline.com.cn,Mobile Phones,Yes
91,25000000,2500000000,1.700%,daum.net,Online Communities,Yes
92,24000000,800000000,1.500%,4399.com,Online Games,Yes
93,24000000,2300000000,1.500%,bankofamerica.com,Banking & Personal Finance,No
94,23000000,5800000000,1.500%,ebay.de,Auctions,Yes
95,23000000,4000000000,1.500%,uol.com.br,Web Portals,Yes
96,23000000,250000000,1.500%,filestube.com,File Sharing & Hosting,No
97,23000000,310000000,1.500%,zol.com.cn,Hardware,Yes
98,23000000,250000000,1.500%,mop.com,Roleplaying Games,No
99,23000000,960000000,1.500%,alexa.com,Search Engine Optimization & Marketing,No
